地块名,黄豆,黑豆,红豆,绿豆,爬豆,小麦,玉米,谷子,高粱,黍子,荞麦,南瓜,红薯,莜麦,大麦,水稻,豇豆,刀豆,芸豆,土豆,西红柿,茄子,菠菜 ,青椒,菜花,包菜,油麦菜,小青菜,黄瓜,生菜 ,辣椒,空心菜,黄心菜,芹菜,大白菜,白萝卜,红萝卜,榆黄菇,香菇,白灵菇,羊肚菌
A1,,,,,,,,,,,,,,,,70.909091,,,,,,,,,,,,,,,,,80.0,,,9.0909091,,,,,
A2,,,,,,,,,,,,,,,,45.909091,,,,,,,,,,,,,,,,,55.0,,,9.0909091,,,,,
A3,,,,,,,,,,,,,,,,25.909091,,,,,,,,,,,,,,,,,35.0,,,9.0909091,,,,,
A4,,,,,,,,,,,,,,,,62.909091,,,,,,,,,,,,,,,,,72.0,,,9.0909091,,,,,
A5,,,,,,,,,,,,,,,,58.909091,,,,,,,,,,,,,,,,,68.0,,,9.0909091,,,,,
A6,,,,,,,,,,,,,,,,45.909091,,,,,,,,,,,,,,,,,55.0,,,9.0909091,,,,,
B1,,,,,,,,,,,,,,,,50.909091,,,,,,,,,,,,,,,,,60.0,,,9.0909091,,,,,
B2,,,,,,,,,,,,,,,,36.909091,,,,,,,,,,,,,,,,,46.0,,,9.0909091,,,,,
B3,,,,,,,,,,,,,,,,30.909091,,,,,,,,,,,,,,,,,40.0,,,9.0909091,,,,,
B4,,,,,,,,,,,,,,,,18.909091,,,,,,,,,,,,,,,,,28.0,,,9.0909091,,,,,
B5,,,,,,,,,,,,,,,,15.909091,,,,,,,,,,,,,,,,,25.0,,,9.0909091,,,,,
B6,,,,,,,,,,,,,,,,76.909091,,,,,,,,,,,,,,,,,86.0,,,9.0909091,,,,,
B7,,,,,,,,,,,,,,,,45.909091,,,,,,,,,,,,,,,,,55.0,,,9.0909091,,,,,
B8,,,,,,,,,,,,,,,,34.909091,,,,,,,,,,,,,,,,,44.0,,,9.0909091,,,,,
B9,,,,,,,,,,,,,,,,40.909091,,,,,,,,,,,,,,,,,50.0,,,9.0909091,,,,,
B10,,,,,,,,,,,,,,,,15.909091,,,,,,,,,,,,,,,,,25.0,,,9.0909091,,,,,
B11,,,,,,,,,,,,,,,,50.909091,,,,,,,,,,,,,,,,,60.0,,,9.0909091,,,,,
B12,,,,,,,,,,,,,,,,35.909091,,,,,,,,,,,,,,,,,45.0,,,9.0909091,,,,,
B13,,,,,,,,,,,,,,,,25.909091,,,,,,,,,,,,,,,,,35.0,,,9.0909091,,,,,
B14,,,,,,,,,,,,,,,,10.909091,,,,,,,,,,,,,,,,,20.0,,,9.0909091,,,,,
C1,,,,,,,,,,,,,,,,5.9090909,,,,,,,,,,,,,,,,,15.0,,,9.0909091,,,,,
C2,,,,,,,,,,,,,,,,3.9090909,,,,,,,,,,,,,,,,,13.0,,,9.0909091,,,,,
C3,,,,,,,,,,,,,,,,5.9090909,,,,,,,,,,,,,,,,,15.0,,,9.0909091,,,,,
C4,,,,,,,,,,,,,,,,8.9090909,,,,,,,,,,,,,,,,,18.0,,,9.0909091,,,,,
C5,,,,,,,,,,,,,,,,17.909091,,,,,,,,,,,,,,,,,27.0,,,9.0909091,,,,,
C6,,,,,,,,,,,,,,,,10.909091,,,,,,,,,,,,,,,,,20.0,,,9.0909091,,,,,
D1,,,,,,,,,,,,,,,,5.9090909,,,,,,,,,,,,,,,,,15.0,,,9.0909091,,,,,
D2,,,,,,,,,,,,,,,,0.99264706,,,,,,,,,,,,,,,,,10.0,,,9.0073529,,,,,
D3,,,,,,,,,,,,,,,,4.9090909,,,,,,,,,,,,,,,,,14.0,,,9.0909091,,,,,
D4,,,,,,,,,,,,,,,,0.99264706,,,,,,,,,,,,,,,,,6.0,,,5.0073529,,,,,
D5,,,,,,,,,,,,,,,,0.99264706,,,,,,,,,,,,,,,,,10.0,,,9.0073529,,,,,
D6,,,,,,,,,,,,,,,,2.9090909,,,,,,,,,,,,,,,,,12.0,,,9.0909091,,,,,
